x	y
-0.3628	-0.2940
-0.3664	-0.2944
-0.3696	-0.2952
-0.3731	-0.2956
-0.3774	-0.2966
-0.3807	-0.2973
-0.3850	-0.2982
-0.3886	-0.2984
-0.3927	-0.2997
-0.3963	-0.3000
